,time,position,num_pre_meetings,covid_meetings,covid_present,meeting_quality,present_quality,post_attend,post_options,climate,cost,info
33,2020/08/26 11:17:35 AM MDT,Graduate student,4,3,1,2.0,10.0,Depends on format of the meeting,Depends on the format,"Has not in the past, but will in the future",3000.0,"I don't mind a virtual lecture, but conferences are a lot  about networking, asking questions after talks, etc. The virtual formats I've seen make all of this impossible, unless it is a single person being organized to give a single talk. So, I think it is unhelpful for any type of large conference format, especially for students looking for mentors or job opportunities."
34,2020/08/26 1:28:15 PM MDT,Professor/Investigator,4,3,1,5.0,4.0,Depends on cultural shifts in the field,Yes,Yes,5000.0,
35,2020/08/26 4:00:56 PM MDT,Professor/Investigator,7,8,5,7.0,3.0,Depends on format of the meeting,Yes,Yes,800.0,
37,2020/08/27 4:46:46 PM MDT,Post-Doctoral researcher,4,8,3,2.0,1.0,Depends on format of the meeting,Depends on the format,Yes,1200.0,
38,2020/08/27 5:45:46 PM MDT,Professor/Investigator,2,6,2,8.0,8.0,Depends on format of the meeting,Yes,Yes,2000.0,
39,2020/08/27 5:58:00 PM MDT,Professor/Investigator,3,1,1,10.0,10.0,Yes,Yes,Yes,1800.0,"Virtual is much more inclusive -- so many reasons people might not be able to travel, including caregiving responsibilities, health issues, lab funding. Let's keep up the inclusive science-ing by normalizing virtual meetings. [Also, the Likert scale maxed out at 'As good as in person'. I would rate virtual as *better* than in person on some dimensions; the post-symposium Q&A was higher quality in virtual format than in in person format; poster sessions were far more manageable in virtual format than in in person format]"
40,2020/08/27 6:00:33 PM MDT,Professor/Investigator,5,3,2,8.0,6.0,Yes,Yes,Yes,2000.0,"I live on the east coast now, so car/train travel to meetings is easy. I've been asking for virtual meetings though due to climate change and some (smaller) meetings are providing. Large society meetings are still not and it is unfortunate. "
41,2020/08/27 6:22:45 PM MDT,Professor/Investigator,10,2,4,4.0,4.0,Depends on format of the meeting,Depends on the format,Yes,2000.0,
42,2020/08/27 7:25:46 PM MDT,Professor/Investigator,4,1,2,8.0,5.0,Depends on format of the meeting,Yes,No,2500.0,
43,2020/08/27 10:44:11 PM MDT,Professor/Investigator,5,6,5,10.0,10.0,Yes,Yes,Yes,2000.0,
44,2020/08/28 11:47:25 AM MDT,Graduate student,4,10,0,9.0,,Depends on cultural shifts in the field,Yes,"Has not in the past, but will in the future",0.0,
45,2020/08/29 2:36:40 PM MDT,Professor/Investigator,7,0,1,7.0,3.0,Yes,Yes,No,,
46,2020/08/29 7:42:34 PM MDT,Post-Doctoral researcher,2,4,0,8.0,,Yes,Yes,"Has not in the past, but will in the future",1500.0,
47,2020/09/03 3:17:42 PM MDT,Post-Doctoral researcher,3,9,0,5.0,7.0,Depends on cultural shifts in the field,Yes,Yes,2000.0,
